feature,shap_importance,rank,shap_importance_pct,cumulative_pct
atr14_normalized,0.6669426,1,29.191,29.19
dist_52w_high,0.33291578,2,14.5712,43.76
dist_52w_low,0.24602664,3,10.7682,54.53
beta_spy_252d,0.13049407,4,5.7115,60.24
log_avg_volume_20d,0.087317914,5,3.8218,64.06
price,0.083368175,6,3.6489,67.71
adx14,0.077976145,7,3.4129,71.13
quarterly_return_63d,0.06438683,8,2.8181,73.94
volatility_21d,0.05488876,9,2.4024,76.35
sma50_slope,0.04302181,10,1.883,78.23
swing_low_10d,0.039511822,11,1.7294,79.96
sma50_sma200_ratio,0.039265513,12,1.7186,81.68
obv_momentum,0.034803014,13,1.5233,83.2
chaikin_money_flow,0.03254491,14,1.4244,84.62
ytd_return,0.030599684,15,1.3393,85.96
sma200_slope,0.024567008,16,1.0753,87.04
aroon_oscillator,0.02304361,17,1.0086,88.05
volatility_ratio,0.018912425,18,0.8278,88.88
sma50_ratio,0.018766526,19,0.8214,89.7
relative_volume,0.0172353,20,0.7544,90.45
candle_upper_wick_pct,0.01582503,21,0.6926,91.14
sma20_sma50_ratio,0.015581905,22,0.682,91.83
weekly_return_5d,0.014935902,23,0.6537,92.48
aroon_down,0.014198433,24,0.6214,93.1
gap_pct,0.01343737,25,0.5881,93.69
stochastic_k14,0.012992775,26,0.5687,94.26
dpo,0.011636408,27,0.5093,94.77
aroon_up,0.0108458875,28,0.4747,95.24
daily_return,0.009918872,29,0.4341,95.68
price_log,0.009771702,30,0.4277,96.1
donchian_position,0.008646244,31,0.3784,96.48
log_volume,0.008311157,32,0.3638,96.85
williams_r14,0.0069947317,33,0.3061,97.15
higher_low_10d,0.006641176,34,0.2907,97.44
trend_residual,0.006524315,35,0.2856,97.73
sma200_ratio,0.0053592008,36,0.2346,97.96
pos_52w,0.0048714,37,0.2132,98.18
rsi14,0.00453396,38,0.1984,98.37
sma20_ratio,0.0040044556,39,0.1753,98.55
monthly_return_21d,0.0037738106,40,0.1652,98.72
price_vs_ma200,0.0035660823,41,0.1561,98.87
roc10,0.003450084,42,0.151,99.02
ppo_histogram,0.0033669963,43,0.1474,99.17
candle_lower_wick_pct,0.0033203803,44,0.1453,99.31
volatility_5d,0.002931552,45,0.1283,99.44
ttm_squeeze_momentum,0.002627594,46,0.115,99.56
cci20,0.0024078488,47,0.1054,99.66
bollinger_band_width,0.0023979913,48,0.105,99.77
macd_histogram_normalized,0.0016115252,49,0.0705,99.84
roc20,0.001412422,50,0.0618,99.9
kama_slope,0.0011051696,51,0.0484,99.95
ttm_squeeze_on,0.0009632275,52,0.0422,99.99
higher_high_10d,0.00013179373,53,0.0058,100.0
candle_body_pct,6.807508e-05,54,0.003,100.0
donchian_breakout,0.0,55,0.0,100.0
