fold,accuracy,precision,recall,f1
0,0.9976438966716851,0.9972425479473157,0.9984884474195638,0.9978651087869655
1,0.996919839458299,0.9960703990289789,0.9984183712265227,0.9972430030759883
2,0.9969550102768403,0.9962986284959531,0.9981689208943052,0.9972328977709455
3,0.9977070987212018,0.9978741232698156,0.9979050929518016,0.9978896078705213
4,0.9982092413236481,0.9986820672293796,0.9981647302597498,0.9984233317295237
5,0.9981365208340328,0.9984554378982075,0.9982478803807148,0.9983516483516484
6,0.9981721836536204,0.998435747594593,0.9983473513353991,0.9983915475083743
7,0.9980903562993115,0.9981280860785614,0.9985107418275114,0.9983193772850572
8,0.9977246300432487,0.9973262440604421,0.9985162069967723,0.9979208707882345
9,0.9989054876010962,0.9991183431037416,0.9988556936970372,0.9989870011367239
10,0.9978555813293727,0.9973843266488348,0.9988160776653051,0.9980996887038693
11,0.9982025164769323,0.9982442186773114,0.9985139374652877,0.9983790598547158
12,0.998507314160613,0.9985590349991087,0.9987667528453835,0.9986628831211279
13,0.9980247933884298,0.997693326308895,0.9989022895104497,0.9982974418886285
14,0.9985084589331773,0.9983547573651516,0.9988615910034921,0.9986081098747299
15,0.9988323712730443,0.9988320808937655,0.9989855985736901,0.9989088338353722
16,0.999260683128789,0.9994697929246812,0.9992049001707992,0.9993373289940655
17,0.9988924985233314,0.9987896537812112,0.9991927768476441,0.9989911746463507
18,0.9987560560429488,0.9986735341847174,0.99918112637479,0.9989272657981284
19,0.9989384115370168,0.9988846376484208,0.9992796711910849,0.9990821153710372
20,0.9987611860014018,0.9988287387516069,0.9989999714277551,0.9989143477515571
21,0.9985680113257286,0.9981157430399346,0.99931266452179,0.9987138451644962
22,0.9987887557513779,0.9986153207071096,0.999091832650925,0.9988535198479567
23,0.9987162195102134,0.9982118272593483,0.9992871287128713,0.9987491885558669
24,0.999057936881771,0.9987941008718325,0.9993152136696395,0.9990545893168593
25,0.9993749695602059,0.9996651678943844,0.9991076123850653,0.9993863123749711
26,0.9991806935712837,0.9991342536479403,0.9992758186397985,0.9992050311297216
27,0.9989783921838894,0.9986506607109622,0.9993946731234867,0.9990225283932228
28,0.9988172870509133,0.9981531603247891,0.9995217141763918,0.9988369684706933
29,0.998947964716355,0.9991083796392122,0.9988221249502587,0.9989652317880795
30,0.9991271669293248,0.999247115222101,0.9990936045350498,0.9991703539823009
31,0.9985386844931011,0.9979392527551295,0.9993569708842398,0.9986476086582933
32,0.9987909173712931,0.9983654195423175,0.9993636942096173,0.9988643074546859
33,0.9987368963048183,0.9984990827728056,0.9993184694771687,0.9989086080929838
34,0.9987548400571971,0.998733705772812,0.9989569363731188,0.9988453086005885
35,0.9990373971218174,0.9988949597888145,0.999263035067248,0.9990789635269557
